,focos,taxa_internacoes_100k,temperatura_media_c,umidade_relativa_media_pct,precipitacao_media_diaria_mm_dia
focos,1.0,0.011735741095833948,0.5067375085250808,-0.6019949097170846,-0.5615652430121698
taxa_internacoes_100k,0.011735741095833948,1.0,-0.08283939610519342,0.05474993448511333,-0.004210440978624793
temperatura_media_c,0.5067375085250808,-0.08283939610519342,1.0,-0.8046188931253497,-0.46219037602423
umidade_relativa_media_pct,-0.6019949097170846,0.05474993448511333,-0.8046188931253497,1.0,0.6403494554650999
precipitacao_media_diaria_mm_dia,-0.5615652430121698,-0.004210440978624793,-0.46219037602423,0.6403494554650999,1.0
