lag_meses,rho_spearman,p_valor
0,-0.2492062581960362,0.004099669591478574
1,-0.4115946463682822,1.1446653999924539e-06
2,-0.4391005439710923,1.9341495070887297e-07
3,-0.3573886210935093,3.452656949232263e-05
